idDebilidad,nombre
1,Natka
2,Constantino
3,Nari
4,Birgit
5,Camella
6,Dwight
7,Tommie
8,Sam
9,Rodie
10,Tory
11,Purcell
12,Nomi
13,Barri
14,Corissa
15,Cristobal
16,Sophey
17,Matilde
18,Read
19,Deeanne
20,Myrle
21,Dorelle
22,Averell
23,Biddy
24,Florry
25,Manon
26,Bobbe
27,Ellen
28,Helenka
29,Cathy
30,Bruno
31,Debera
32,Wiley
33,Barnabas
34,Alessandro
35,Gretna
36,Hobie
37,Cassey
38,Darcey
39,Didi
40,Candi
41,Tadio
42,Cassy
43,Natalya
44,Langsdon
45,Tanhya
46,Jessie
47,Corry
48,Austin
49,Ertha
50,Jeanna
51,Katy
52,Raquel
53,Rozalie
54,Maryanna
55,Rhona
56,Saw
57,Loutitia
58,Gaylene
59,Raina
60,Broderic
61,Krishna
62,Dion
63,Leticia
64,Randee
65,Pauline
66,Hanna
67,Josepha
68,Anstice
69,Tristan
70,Roderic
71,Binnie
72,Harold
73,Neda
74,Maribel
75,Page
76,Audrey
77,Meggie
78,Hewe
79,Emmalee
80,Allen
81,Grady
82,Renard
83,Carmon
84,Carin
85,Frederique
86,Randi
87,Drusy
88,Gerianna
89,Oralia
90,Henrieta
91,Moina
92,Raphaela
93,Whittaker
94,Indira
95,Jennilee
96,Lowell
97,Jelene
98,Riccardo
99,Link
100,Esmeralda
